Name,Birth,Death,Nationality,Dates in Paris,address,Schools Attended,Exhibitions,Contacts,Government Grant,Notes,Tags,Image
"Quintero[s], Gonzalo ",1891,1957,Colombia,1926-1931,"246, rue de Rennes",Académie Julian (with Bouchard and Landowski),"1928 Salon d'Automne<br /> 1929 Société des Artistes Français (Après le bain, platre statue<br /> 1930 (Apr. 30-Jun. 30) Salon de la société des Artistes Français (Portrait de Mme M., silver<br /> 1931 exhibition at La Grand Palais (Llanero enlazando un Toro)<br /> Champs-Elysées exhibition (Cabeza de Antonio de J. Romero Cubides, bronce)",,,sculptor,"Colombia, Salon d'Automne, Salon des Artistes Français, Académie Julian",
"Quiros, Bernaldo de",1881,1968,Argentina,ca. 1931,,,1931 Musée de Jeu de Paume,,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930",Argentina,
"Quízpez Asín,  Alfredo (César Moro) (1903-",1903,1956,Peru,1925-1933,,self-taught,"1926 (Mar. 6-17)  Quelques Peintres de l'Amérique Latine Cabinet Maldoror, Brussels (group show with Santos Balmori, Isaías Cabezón, Jaime Colson)<br /> 1927 (Mar. 10-16) Société París-Amérique Latine (Scènes péruviennes) with Jaime Colson, catalogue by Francis Miomandre<br /> (1926 show traveled to Galerie Pierre? see Dreyfus)","surrealism (Paul Eluard, Benjamin Peret, Andre Breton, Ernst)",,primarily a poet and dancer,"Peru, self-taught",
"Quízpez Asín, Carlos ",1900,1983,Peru,1925 (5 months),,,,César Vallejo ,,,Peru,
"Ramaugé, Roberto ",1892,1973,Argentina,ca. 1915-,,,"1923 Société Nationale des Beaux-Arts<br /> 1926 (May 18-30) Exposition des Oeuvres de Roberto Ramaugé, Galerie Barbazanges, 109, Faubourg Saint-Honoré<br /> 1927 Galerie Georges Petit<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins, L'Association Paris-Amérique Latine<br /> 1928 (fall) individual exbibition<br /> 1930 Hôtel Montmartois (held his own show of landscapes)<br /> 1931 Salon des Artistes Français",,,,"Argentina, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Ramos, Luis",1899,1955,Colombia,ca. 1928-1934,,Académie Julian (1928 Oct.),1928 exhibition?,,,,"Colombia, Académie Julian",
"Ravenet, Domingo",1905,1969,Cuba,1927-1932 ,"52, rue de l’Avenir, Les Lilas, Seine",Académie de la Grand Chaumière (1928-29),"1928 (Jan. 15) Exposición de Pinturas, Esculturas y Grabados de Andrés Nogueira, Domingo Ravenet y Alberto Sabas, Asociación Paris-Amerique Latine, (sponsored by Cuban Ambassador to France, Carlos Manuel de Céspedes, introduction by Ramón Gómez de la Serna)",,,,Cuba,
"Rego Monteiro, Joaquin",1903,1934,Brazil,1926,,,,,,Is this a mistake or relative of Vicente do Rego Monteiro?,Brazil,
"Rego Monteiro, Vicente do",1899,1970,Brazil,"1911-1914; 1921-1938, 1946-1957 alternated between Brazil and Paris","17, rue Gros 6e (1923), 21, rue Impératrice-de-Russie, Nice (1924), 107, avenue du Maine 14e (1925), 11, avenue Junot, villa 14, XVIIIe (1927) ",Académie Julian; Académie Colarossi (1911-14),"1913, 1923, 1924, 1925, 1926, 1927, 1928, 1929 Salon des Indépendants<br /> 1923, 1924 Salon des Tuileries<br />  1923 Inaugural exhibition at the Maison de l'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1925 Salon d'Automne<br /> 1925 Galerie Fabre<br /> 1928 Galerie Bernheim-Jeune (introduction by Ozenfant)<br /> 1929 Salon des Surindépendants<br /> 1930  (Apr. 11-24) Première exposition du groupe latino-americain de Paris Galerie Zak<br /> 1937 Galerie Katia Granoff<br /> 1937 Galerie David Garnier<br /> represented by Léonce Rosenberg at the Galerie l'Effort Moderne",,,"1930 he and the French poet and critic Géo-Charles (1892-1963) organized the first comprehensive exhibition in Brazil of artists from the Ecole de Paris, which was seen in Recife, Rio de Janeiro and São Paulo; sold La belle et les biches for 850f in 1928","Brazil, Salon des Indépendants, 1924 Exposition d'Art Américain-Latin, Salon des Tuileries, Galerie Zak, Galerie Bernheim-Jeune, Académie Julian, Académie Colarossi",
"Reinoso, Manuel",,,,ca. 1923,,,1923 Inaugural exhibition at the Maison de L'Amérique Latine,,,,,
"Rendón Seminario, Manuel ",1894,1980,Ecuador,1894-1920; 1922; 1925-1937 (born in France),"117, rue N.-D.-des-Champs (Vie)-shared studio with Toledo Piza and Tobón Mejia",Académie de la Grande Chaumière,"1918 Galerie Vildrac<br /> 1920, 1922, 1923, 1924, 1925, 1926 Salon des Indépendants<br /> Café de la Rotonde<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Nature morte, Paysage, 2 untitled)<br /> 1924 Salon d'Automne<br /> 1925 (Mar. 15) L’Exposition de la compagnie des peintres et sculpteurs professionnels a la closerie des lilas<br /> 1926 Galerie Zborowski<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930, 1931 Salon des Superindependantes<br /> 1927-1932 under contract at Galerie L'effort Moderne<br /> 1926, 1927, 1928, 1929, 1946 Salon des Tuileries","Modigliani, Chaim Soutine",,Léonce Rosenberg was his dealer from 1926-1932; sold Le scaphandrier for 710f in 1927; sold L'Extase for 750f in 1928,"Ecuador, Salon des Indépendants, 1924 Exposition d'Art Américain-Latin, 1930 Exposition du Groupe Latino-Americain, Académie de la Grande Chaumière, Salon des Tuileries, Galerie Zak",
"Reszka, Pedro",1872,1960,Chile,,,,,,,,Chile,
"Reveron, Armando",1889,1954,Venezuela,Didn't live in Paris; Luisa Phelps brought a group of his paintings to Paris for exhibition in 1933,,,1933 (Dec.) or 1934 (Oct.) Galerie Katia Granoff,,,,Venezuela,
"Reyes, Carlos",,,Colombia,?-1933,,,,,,,Colombia,
"Riccio, Ernesto",1877,1954,Argentina,-1927,,,,,,,Argentina,
"Rivello, Carmelo ",1901,1944,Uruguay,1926-,,,,,yes,,Uruguay,
"Rivera, Diego",1886,1957,Mexico,1909-1910; 1911-1919 (1907-1921 in Europe),"52, avenue du Maine (1911-12); 26, rue du Départ (1912-1919)",Free Académies of Montparnasse,"1910, 1912, 1913 Salon des Indépendants<br /> 1911, 1912 Salon d'Automne<br /> 1913 (Jan. 13) IVe Exposition du 'Groupe Libre' Galerie Bernheim-Jeune & Cie<br /> 1914 (Apr. 21-May 6) Exposition Particulière de Peintures, Aquarelles et Dessins par M. Diego H. Rivera [sic.], Galerie Berthe Weill<br /> 1918 (Oct. 28-Nov. 19) Exposition de Peinture, Aquarelles et Dessins de Eugene Corneau, André Favory, Gabriel Fournier, André Lhote et Diego Rivera, Sculptures de Paul Cornet et Adam Fischer, Galerie Eugène Blot<br /> 1920 (Oct. 26-Nov. 15) Exposició d'art francés d'avantguarda, Galerie Dalmau, Barcelona, (preface by Maurice Raynal)<br />  1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak (not in Paris at the time)",Elie Faure,yes,,"Mexico, Salon des Indépendants, Salon d'Automne, 1930 Exposition du Groupe Latino-Americain, Galerie Zak, Galerie Bernheim-Jeune",
"Riverón, Enrique ",1902,1998,Cuba,1925 (late)-1927,Hôtel du Maine,"Académie de la Grand Chaumière, Académie Colarossi",1926 (Jun.) Association Paris-Amérique Latine,,"yes to Madrid, Paris",,"Cuba, Académie Colarossi",
Roberto Henao y Quintero ,,,Colombia,c. 1930,"30, rue Racine","Bouchard, Landowski","1930 (Apr. 30-Jun. 30) Salon de la société des Artistes Français (Nu de Femme, bronze statuette, Tête, baked clay)",,,sculptor,"Colombia, Salon des Artistes Français",
"Rodig, Laura ",1901,1972,Chile,ca.1928- 1930,"11, boulevard de Port-Royal",Académie André Lhote,"1928 Salon d'Automne (La fontaine et ses femmes)<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris Galerie Zak<br /> 1930, 1931 Salon des Tuileries",,,sculptor,"Salon des Artistes Français, Galerie Zak, Académie André Lhote",
"Rodríguez Lozano, Manuel",1896,1971,Mexico,,,Académie André Lhote 1925,1925 (Jan.) individual exhibition,,,have letter from Lhote Archive,"Mexico, Académie André Lhote",
"Rodríguez Naranjo, Oscar",1907,2006,Colombia,ca. 1929,,,,,,,Colombia,
"Román, Samuel ",1907,1990,Chile,1925 visited Exposition internationale des arts décoratifs et industriels modernes; 1937-1943 studied in Berlin (only visited Paris),,,,Zadkine,,sculptor,Chile,
"Rozo, Rómulo",1899,1964,Colombia,1925-1931,"12, rue de la Harpe Ve; 24, rue Emile-Zola (1928)",Ecole des beaux-arts (1925-1926); Académie Julian (1926-30); Académie Colarossi (1926-28); Académie de la Grande Chaumière (1926-28); Victorio Macho,"1925 Exposition internationale des arts décoratifs et industriels modernes (silver medal for Un heurtoir en bronze patiné vieil argent, now in Museo Nacional, Bogotá, exhibited in Spanish section)<br /> 1926 Salon d'Automne<br /> 1926 Société Nationale des Beaux-Arts<br /> 1927 Exposition de beaux-arts, Salle des Fétes de Deauville<br /> 1927, 1928 Salon des Indépendants<br />  1927 mural painting in Palais d'art Décoratif, Paris<br /> 1927 Société des Artistes Français (Cecilia y Biatrix, marble group<br /> Chien, bronze)<br /> 1928 Société des Artistes Français (Un serpant scare, granite, 2)<br /> 1928 (Jun 14-25) Exposition Rómulo Rozo au Cercle Paris-Amérique Latine (received honorable mention for Dos serpientes sagradas)<br /> 1928 Salon des Artistas Français<br /> 1929 Société des Arts, Letres et Sciences de París (honorable mention)<br /> 1930 Galerie Santiago<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1931 (Jan. 20-30) Galerie L'Epoque<br /> 1931 Société Nationale des Beaux-Arts
 ",Bourdelle,,"sculptor; member of La horde and Société des Arts-Lettres-Sciences and Société des Artistes Indépendants, Paris; Musée du Luxembourg acquires sculpture in 1928","1930 Exposition du Groupe Latino-Americain, Salon des Indépendants, Salon d'Automne, Colombia, Académie de la Grande Chaumière, Salon des Artistes Français, Société Nationale des Beaux Arts, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes, Galerie Zak, Académie Julian, Académie Colarossi",
"Ruiz, Guillermo",1894,1965,Mexico,1924-1927,,José de Creeft,,,,Sculptor,Mexico,
"Sabas, Alberto ",,,Cuba,ca. 1927-1928,"64, avenue du Maine",,"1927 Salon d'Automne<br /> 1928 (Jan. 15) Exposición de Pinturas, Esculturas y Grabados de Andrés Nogueira, Domingo Ravenet y Alberto Sabas Asociación Paris-Amérique-Latine, París (sponsored by the Ambassador of Cuba in France, Carlos Manuel de Céspedes, introduction by Ramón Gómez de la Serna) ",,,,"Salon d'Automne, Cuba",
"Saco, Carmen",1882,1948,Peru,ca. 1926 ,"26, faubourg St.-Jacques",,1926 Salon d'Automne<br /> 1926 (Jul.) Cercle Paris-Amérique-Latine<br /> 1926 Salón du France Musée Galliera organized by Paris Midi newspaper ,,,sculptor,"Peru, female, Salon d'Automne",
"Salas, Tito",1887,1974,Venezuela,1919-1920 (3rd trip),,,,,,Legion of Honor 1932,"Venezuela, Legion of Honor",
"Salazar, Toño ",1897,1986,El Salvador,1921-1930; 1932-1935,,,1925 Salon de la Caricature (orgainzed by Andre Salmon and Gus Boffa),"Kisling, Foujita, García Calderon",,Caricaturist; lived in Montparnasse,El Salvador,
"Samper,  Adolfo",1900,1989,Colombia,1928-1929,,"Académie de la Grande Chaumière, Académie Colarossi, Académie Julian",,,yes for 2000 pesos for 1 year,mostly a caricaturist; felt isolated by the language in Paris so he went to Spain,"Colombia, Académie de la Grande Chaumière, Académie Julian, Académie Colarossi, Ecole National des Beaux Arts",
"Samson, Flexor",1907,1971,Brazil,1924-after WWII,"rue Croulebarbe, Rive Gauche (1929)","Ecole National des Beaux Arts, Sorbonne (art history) 1924, Académie Ranson 1926 with Bissière-mural painting, Académie André Lhote","1927 (Apr. 22) Galerie Campagne Première (drawings and guaches)<br /> 1927, 1929, 1930 Salon d'Automne<br /> 1928 (Mar. 9) Galerie Jeune Peinture<br /> 1929 Galerie Le Cadre, Brussels<br /> 1929 (Dec. 6) Galerie Jeune Peinture<br /> 1929, 1936, 1938 Salon des Tuilleries<br /> 1929 Salon des Indépendants<br /> 1930 (May 2) Galerie Georges Dupuis<br /> 1932, 1934, 1935, 1937, 1938 Salon des Echanges<br /> 1933 (May 18) Galerie Jeune Peinture (preface André Salmon)<br /> 1935 (Mar. 3) Galerie A. Barreiro<br /> 1935 Galerie d'Art Jack, Nevers (group show)<br /> 1937 (May 3) Galerie La Fenêtre Ouverte<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Pavillon d'Art Francias<br /> 1937, 1939 Galerie Bernheim Jeune, exposition of those selected for the Paul Guillaume Prize<br /> 1938 Maison de la Culture<br /> 1938 XXVI Exposition du Groupe d'Emulation Artistique du Nivernais, Nevers<br /> 1939 (May 16) Galerie Carmine<br /> 1940 Salon des Artistes Bas-Normands, XV Normandie",,,,"Brazil, Salon des Indépendants, Salon d'Automne, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Académie André Lhote, Académie Ranson, Ecole National des Beaux Arts",
"Sánchez Araujo, Antonio",1887,1946,Cuba,,,,,,,,Cuba,
"Sangroniz, Luis Alberto de ",1896,,Chile,ca. 1922-1924,"12, rue Washington; 11, bis, rue de Magdebourg (XVIe)",,"1922 Salon d'Automne<br /> 1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1924 Salon des Artistes Français",,,,"Chile, Salon d'Automne, 1924 Exposition d'Art Américain-Latin, Salon des Artistes Français",
"Santamaria, Andrés de",1860,1945,Colombia,"Lived in Brussels between the wars, but sometimes sent paintings to Paris","14, rue Georges-Ville",,1923 Salon d'Automne<br /> 1928 Salon des Tuileries<br /> 1930 (Apr. 30-Jun. 30) Salon de la société des Artistes Français<br /> 1930 Société Nationale des Beaux-Arts,,,,"Colombia, Salon d'Automne, Salon des Tuileries, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Santiago, Haïdea",1896,1890,Brazil,,,,1930 Société Nationale des Beaux-Arts<br /> 1931 Salon des Artistes Français,,,,"Brazil, female, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Santiago, Manoel",1897,1987,Brazil,ca. 1928,"11, rue Schoelcher","Académie André Lhote, M. Billoul",1930 Société des Artistes Français (Portrait de Mme H.S. (illustrated p. 114),,,,"Brazil, Salon des Artistes Français, Académie André Lhote",
"Saubidet, Tito",1891,1955,Argentina ,ca. 1928,,,1923 Inaugural exhibition at the Maison de l'Amérique Latine ?<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins L'Association Paris-Amérique Latine,,,Did fresco of Argentine countryside for a caberet,Argentina ,
"Segura, Jean-José",1901,1964,Mexico,ca. 1927,,,1927 Salon des Indépendants,,,"llisted in Dictionnaire Biographique des Artistes Contemporains, 1910-1930; more of a reputation in New York and Mexico","Mexico, Salon des Indépendants",
"Seoane, Jorge",,,Peru,,,,,,,,Peru,
Sérvulo Gutiérrez (1914-1961),1914,1961,Peru,1938-1939,,,,,,,Peru,
"Sicre, Juan José ",1898,1974,Cuba,1922-1927,"64, avenue du Maine, Paris (XIVe), shared studio with Juan José Sicre",Académie de la Grande Chaumière (1923); José de Creft (1925),"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1926 Societé París-Amerique Latine",Antoine Bourdelle ,yes,sculptor; Cogniat wrote reviews of 1926 show,"Cuba, 1924 Exposition d'Art Américain-Latin, Académie de la Grande Chaumière ",
"Silva Bruhns, Ivan da",1881 (Born in Paris to Brazilian parents),1980,Brazil,1881-1980,"21, boulevard du Chateau, Neuilly",,"1925 Exposition internationale des arts décoratifs et industriels modernes (tapestry)<br /> 1926, 1927 Salon d'Automne 1911-1923 Salon des Indépendants<br /> Société Nationale des Beaux-Arts<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne",,,"Decorative Arts: tapistry; 1925 opens gallery on 9, rue d'Odéon, 1930 it moves to 79 rue du Faubourg Saint-Honoré","Brazil, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes",
"Siqueiros, David Alfaro ",1896,1974,Mexico,1919,,,,,,Visit to Rivera,Mexico,
"Spilimbergo, Lino ",1896,1964,Argentina,1926-1928; 1937,"7, rue Daguerre",Académie André Lhote,"1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (decorated one room of Argentine Pavilion<br /> grand prize for Figura) ",,,Grupo de Paris,"Argentina, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Académie André Lhote",
"Terry, José Antonio ",1878,1954,Argentina,1904-1910,,L’Ecole Nationale et Spéciale des Beaux-Arts with Léon Bonnat,"1924 (Apr. 28) Hôtel M. Jean Charpentier, rue du Faubourg-Saint-Honoré, (painting La Enana Chepa et sac ruche was acquired for the Musée du Luxembourg)<br /> 1925 Galerie Reitlinger<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 Galerie Reitlinger<br /> 1925 and 1928 La Tisseuse appeared at the Musée Universel des Sourdes-muets<br /> 1929 (Jun. 1-15) Galerie Georges Petit",,,deaf artist,"Argentina, Ecole National des Beaux Arts",
"Thomson Ortiz, Manuel",1875,1953,Chile,1924,"41, rue Denfert-Rochereau (Ve)",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1927, 1930 Salon des Artistes Français",,,,"Chile, 1924 Exposition d'Art Américain-Latin, Salon des Artistes Français",
"Tobón Mejía, Marco ",1876,1933,Colombia,1909-1927; 1928-1933,"117, rue N.-D.-des-Champs (Vie)-shared studio with Rendon Seminario and Toledo Piza?",Jean Paul Laurens,"1919, 1922 (bronze medal), 1926, 1931 Société Nationale des Beaux-Arts<br />  1923 Inaugural exhibition at the Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1924, 1925, 1927 (Un cadre de plaquettes et médailles, Un cadre de médaillons et plaquettes), 1928 (Général José-Maria Cordoba statue platre, inaugurated Medellin, Colombia, Un cadre plaquettes et mé'dailles, gravure), 1929 (Solitude pour le monument au poète José Asunción Silva, platre statue (illustrated on p. 215 of Salon catalogue), 1930 (Solitude douloureuse, pour le monument au poète José Asunción Silva, marble statue, nominated for gold medal,  un cadre de plaquettes) Société des Artistes Français<br /> 1928 Legion of Honor?","Bourdelle, Maillol",yes (from Cuba),sculptor,"Colombia, 1924 Exposition d'Art Américain-Latin, Salon des Artistes Français, Société Nationale des Beaux Arts, Legion of Honor",
"Toledo Piza, Domingos Viegas  ",1887,1945,Brazil,c. 1919-1936,"117, rue N.-D.-des-Champs (Vie)-shared studio with Rendon Seminario and Tobón Mejia?",Académie de la Grand Chaumière (with Ménard and Simon),"1919-1936 every year at Salon d'Automne<br /> 1921, 1923, 1924, 1925, 1927, 1928 Salon des Indépendants<br /> 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1934, 1935 Salon des Tuileries<br />  1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1926 (Nov. 16-30) Galerie Carmine<br /> 1926 Salón du France Musée Galliera organized by Paris Midi newspaper (one landscape)<br /> 1929 exhibition (spring)",,,sells Paysage in 1926 for 600f,"Brazil, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Indépendants, Salon des Tuileries",
"Toro, José de ",,,Argentina,ca. 1931-1934,"7, rue Baron-Bigot, Monville (Seinne-Inférieure)",,"1931, 1932, 1934 Salon des Indépendants",,,,"Argentina, Salon des Indépendants",
"Torre, Macedonio de la ",1893,1981,Peru,1927-1930,"228, rue de Vaugirard",Académie de la Grand Chaumière (with Bourdelle),"1928 Salon d’Automne<br /> 1929, 1930, 1931, 1932, 1933 Salon des Indépendants",,yes,,"Salon d'Automne, Peru",
"Torres, José J. ",,,Mexico ,ca. 1912-1930,,,,,,classical style; specialized in portraits,Mexico ,
"Torres-García, Augusto",1913,1992,Uruguay,1926-1932,,"Julio Gonzalez, Amédée Ozenfant",1930 (Mar.) Galerie 23 with Olympia and Iphigénie Torres-García,,,sculptor,Uruguay,
"Torres-García, Joaquín",1874,1949,Uruguay,1926 (Sept.)-1932 (Dec.),"50, rue Pierre-Larousse (1926); 3, rue Marcel Semblat XVIIIe",,"1926 Salon d'Automne<br /> 1926 (Jun. 7-20) Exposition Torrès Garcia, Galerie A.-G. Fabre, 20, rue de Miromesnil<br /> 1927 (May 16-18) Galerie d’art de Montparnasse<br /> 1927 (Jun. 16-30) J. Torres-García-Quelques Peintures, Galerie Carmine (catalogue by Joseph Milbaur)<br /> 1928 (Dec. 1-6) Quelques peintures récentes et retrospective de Torrès-Garcia, Galerie Zak (catalogue by Waldemar George)<br /> 1928 Nov. (3-15 or 30) Cinq refusés par le Jury du Salon d’Automne, Galerie Marck group<br /> 1928, 1930 Salon des Independents<br /> 1929 (Jul. 13-Aug. 2) Exposition d'Art abstrait, Editions Bonaparte, 12, rue Bonaparte (group show)<br /> 1930 Co-founder with Michel Seuphor, Cercle et Carré<br /> 1930 (Apr. 11-24) Première Exposition du Groupe Latino-Américain, Galerie Zak (intro by Hugo Barbagelata)<br /> 1930 (Apr. 18-May 1) Première Exposition internationale du Groupe Cercle et Carré, Galerie 23<br /> 1929, 1930, 1931, 1932 (after leaving Paris) Salon des Surindépendents, Parc des Expositions, Porte de Versailles)<br /> 1930 (Dec. 2-14) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana, 16, rue de la Grande Chaumière<br /> 1931 (Jan. 30-Feb. 14) Peintures de Torrès-Garcia, Galerie Jeanne Bucher, 5, rue du Cherche-Midi (Waldemar George-intro.)<br /> 1931 (Jun. 26-Jul. 9) Casa de Catalunya, Galerie Billiet (group show)<br /> 1931 (Oct. 14-31) Quelques oeuvres récentes, Galeries Georges Petit (group show)<br /> 1931 (Nov. 30-Dec. 12) Galerie Percier<br /> 1931 (Dec. 2-16) Galerie Jean Charpentier<br /> 1932 (Feb. 26-Mar. 12) Groupe d'artistes Studio de la Librairie de l'Opéra<br /> 1932 (Mar. 1-12) Galerie Jeanne Bucher (group show)<br /> 1932 (Mar. 4-18) Galerie Pierre<br /> 1932 (Jun. 27-Jul. 10) Troisième Exposition du Groupe Latino-Américain, Galerie Zak","Mondrian, Van Doesburg, Juan Gris, Lipchitz, Hélion, Picasso, Arp, Colson, Cueto, Vantongerloo, Ozenfant, Brancusi, Xcéron, Duchamp, ",,sells Rue et passants for 460f in Paris in 1938,"Uruguay, Salon d'Automne, Salon des Indépendants, 1930 Exposition du Groupe Latino-Américain, Galerie Zak",
"Vacanti, Cecilia",,,Brazil ,ca. 1939,,,,,,,"Brazil, female",
"Valenzuela Llanos, Alberto ",1869,1925,Chile,1901-1905; 1921-ca. 1922; 1924,,,"ca. 1922 Galerie J. Allard (32 paintings)<br />  1923, 1924, 1925 (Landscape, Portrait of his Wife sent from Chile) Salon des Artistes Français<br /> 1924 Galerie Georges Petit (60 paintings)<br /> Musée de Luxembourg bought Romeros en Flor<br />  Legion of Honor from the French government",,,member of Sociedad de Artistas Franceses; primarily an impressionist,"Salon des Artistes Français, Chile, Legion of Honor",
"Vargas Rosas, Luis ",1897,1977,Chile,1919-1923; ca. 1925-1937,"161, boulevard Montparnasse","Académie de la Grand Chaumière, Atélier 17 de Bill Hayter","1921 Salon d'Automne<br /> 1928, 1929, 1930 Salon des Tuileries<br /> 1937 Quatre-Chemins with Atelier 17 group",Abstraction-Creation,,"Grupo de Montparnasse; primarily a still life painter; included in Fraternity, book printed by Atelier 17 in March 1939","Chile, Salon d'Automne, Salon des Tuileries",
"Veiga Guiguand, Alberto da ",1896,1962,Brazil ,ca. 1928,,,"1927, 1928 Salon d'Autonme",,,,"Brazil, Salon d'Automne",
"Veiga, Regina",1890,1968,Brazil,ca. 1927,"14, ave. Charles-Floquet",M. O.-D.-V. Guillonnet,1927 Société des Artistes Français (L’église San Antonio (Rio de Janeiro)),,,,"Brazil, female, Salon des Artistes Français",
"Velázquez de Cueto, Lola",1897,1978,Mexico,1927-1932,rue de la Gaité; rue des Plantes,,"1929 (Feb. 6-19) Tapisseries Mexicaines de Lola Velasquez Cueto, Salle de la Renaissance, 11, rue Royale<br /> 1930 (Apr. 11-24 Première exposition du groupe latino-americain de Paris, Galerie Zak",,,tapestry,"Mexico, female, 1924 Exposition d'Art Américain-Latin, Galerie Zak",
"Vélez, Eladio ",1897,1967,Colombia,1927 (1 month); 1929-1931,"12, rue de la Harpe",Académie Julian; Académie Colarossi,"1930 (Apr. 30-Jun. 30) Salon de la société des Artistes Français (Tête d’enfant, bronze bust)",,,worked as assistant to Tobon Mejía,"Salon des Artistes Français, Colombia, Académie Julian, Académie Colarossi",
"Ventrillon Horber, Charles ",1899,1977,Venezuela (married to Venezuelan woman),1899-1945,,"1916 Ecole Germain Pilon (Plateros) with Bourgogne; Escuela de Ebanistas Boule (French title?) with Glandzin; Musée d'Histoire Natural-animal drawing course with Millot and watercolor with Vignal; 1917 Académie Julian with Schommer, Déchenaud, Gervais, Royer, and Laparra; Jean Paul Laurens, Jean Pierre and Paul Albert Laurens;  sculpture with P. Landowski and Bouchard; Académie de la Grand Chaumière; Académie Colorossi; 1918 René Piot-mural, fresco, and theatre design; painting with Georges Mouveau; wins various prizes at the Académie Julian: nude, nude torso, clothed portrait, composition; 1925 taught at the Académie Julian","1923, 1924, 1925 (Honorable Mention) Société des Artistes Français<br /> 1929 Eugene Romain Thirion prize<br /> 1930 Salon d'Hiver<br /> 1931 work displayed at Exposition coloniale internationale<br /> 1931 silver medal Salon de Paris<br /> 1936 Decoration for Opera at the Academy of Music and Dance in Paris<br /> 1936 Salon des Indépendants<br /> 1943 Pillini prize at the Salon des Artistes Français",,,,"Venezuela, Salon d'Automne, Salon des Artistes Français, Académie Julian",
"Villanueva, Carlos Raúl",1900,1975,Venezuela,1920-1928; 1937-1938,,"Ecole des Beaux-Arts with Gabriel Héraud (1920-1928, architecture); 1938 Institute of Town Planning at the University of Paris","1928 medal in competition at the Ecole Nationale des Beax-Arts<br /> second prize for Un hótel d'ambassade à construire dans un grand pays d'Extreme Orient<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Venezuelan Pavillion with Luis Malaussena",,,architect; member of the Society of Architects of Fine Arts in Paris,"Venezuela, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne",
"Villanueva, Léonor",,,Venezuela,ca. 1926,"139, rue de Longchamp; 6, rue Claude-Monet, Boulogne-sur-Seine (1933)",,"1929 Salon d'Automne<br /> 1927, 1928, 1929, 1930, 1933, 1934 Salon des Tuileries<br /> 1926 (Jun.) Galerie Devambez",,,,"Venezuela, female, Salon d'Automne, Salon des Tuileries",
"Villanueva, Marta",1900,1995,Chile,,,"Académie de la Grande Chaumière, Académie André Lhote",,,,Grupo de Montparnasse,"Chile, female, Académie de la Grande Chaumière, Académie André Lhote ",
"Villarubia-Norry, Manuel",,,Argentina,ca. 1924,"39, villa d'Alésia (XIVe)",,"1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins L'Association Paris-Amérique Latine",,,,"Argentina, 1924 Exposition d'Art Américain-Latin",
